20:03:08 [INFO] Found animator state: Idle
20:03:08 [INFO] Found animator parameter: moving
20:03:08 [INFO] Found animator parameter: dead
20:03:08 [INFO] Found animator parameter: attack
20:03:08 [INFO] Found animator state: Death
20:03:08 [INFO] Found input control scheme: Keyboard&Mouse
20:03:08 [INFO] Found input control scheme: Gamepad
20:03:08 [INFO] Found input control scheme: Touch
20:03:08 [INFO] Found input control scheme: Joystick
20:03:08 [INFO] Found input control scheme: XR
20:03:08 [INFO] Found input action map: Player
20:03:08 [INFO] Found input action: Move
20:03:08 [INFO] Found input action: Look
20:03:08 [INFO] Found input action: Spell0
20:03:08 [INFO] Found input action: Spell1
20:03:08 [INFO] Found input action: Spell2
20:03:08 [INFO] Found input action: Spell3
20:03:08 [INFO] Found input action: Ultimate
20:03:08 [INFO] Found input action: BootAbility
20:03:08 [INFO] Found input action: Jump
20:03:08 [INFO] Found input action: Inventory
20:03:08 [INFO] Found input action: Interact
20:03:08 [INFO] Found input action: Potion
20:03:08 [INFO] Found input action map: UI
20:03:08 [INFO] Found input action: Navigate
20:03:08 [INFO] Found input action: Submit
20:03:08 [INFO] Found input action: Cancel
20:03:08 [INFO] Found input action: Point
20:03:08 [INFO] Found input action: Click
20:03:08 [INFO] Found input action: ScrollWheel
20:03:08 [INFO] Found input action: MiddleClick
20:03:08 [INFO] Found input action: RightClick
20:03:08 [INFO] Found input action: TrackedDevicePosition
20:03:08 [INFO] Found input action: TrackedDeviceOrientation
20:03:08 [INFO] Found scene: FirstBoss
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: Square
20:03:08 [INFO] Found game object: BossRoom
20:03:08 [INFO] Found scene: RoomTest
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: ProjectilePool
20:03:08 [INFO] Found game object: EnemyRange
20:03:08 [INFO] Found game object: MageSkullPool
20:03:08 [INFO] Found game object: ExitRange
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: PortalParent
20:03:08 [INFO] Found game object: ArcherSkeletonPool
20:03:08 [INFO] Found game object: DemonSkeletonPool
20:03:08 [INFO] Found game object: LightRange
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: Enemies
20:03:08 [INFO] Found game object: Arrow
20:03:08 [INFO] Found game object: select
20:03:08 [INFO] Found game object: MageSkeletonBullet
20:03:08 [INFO] Found game object: WorldLvl1Gen
20:03:08 [INFO] Found game object: MageSkullProjectile
20:03:08 [INFO] Found game object: ChangeLvlPortal
20:03:08 [INFO] Found game object: LinkedPortals
20:03:08 [INFO] Found scene: Menu
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: GameManager
20:03:08 [INFO] Found game object: MenuManager
20:03:08 [INFO] Found game object: Background
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: StartButton
20:03:08 [INFO] Found scene: SceneGameOver
20:03:08 [INFO] Found game object: GameOverText
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: GameOver
20:03:08 [INFO] Found game object: RestartGameButton
20:03:08 [INFO] Found game object: GameManager
20:03:08 [INFO] Found game object: Background
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found scene: SceneGameWon
20:03:08 [INFO] Found game object: GameWonManager
20:03:08 [INFO] Found game object: Background
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: BestScoreText
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: TestScore
20:03:08 [INFO] Found game object: GameManager
20:03:08 [INFO] Found game object: RestartGameButton
20:03:08 [INFO] Found scene: Boss2
20:03:08 [INFO] Found game object: PlatformLvl2 (4)
20:03:08 [INFO] Found game object: BubbleShield
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: Chunk (16,0)
20:03:08 [INFO] Found game object: pos (19)
20:03:08 [INFO] Found game object: room_shadow
20:03:08 [INFO] Found game object: pos (4)
20:03:08 [INFO] Found game object: pos (16)
20:03:08 [INFO] Found game object: pos (12)
20:03:08 [INFO] Found game object: pos (2)
20:03:08 [INFO] Found game object: RoofProjZones
20:03:08 [INFO] Found game object: Chunk (-16,-16)
20:03:08 [INFO] Found game object: pos (14)
20:03:08 [INFO] Found game object: pos (4)
20:03:08 [INFO] Found game object: Chunk (0,0)
20:03:08 [INFO] Found game object: Chunk (0,-16)
20:03:08 [INFO] Found game object: Chunk (16,-16)
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: SkullMage
20:03:08 [INFO] Found game object: Skeletor
20:03:08 [INFO] Found game object: Chunk (-16,-16)
20:03:08 [INFO] Found game object: Enemis
20:03:08 [INFO] Found game object: Particules1
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Chunk (-16,0)
20:03:08 [INFO] Found game object: ProjZone1
20:03:08 [INFO] Found game object: MageSkullProjectile
20:03:08 [INFO] Found game object: Chunk (0,-16)
20:03:08 [INFO] Found game object: pos (5)
20:03:08 [INFO] Found game object: Chunk (-32,0)
20:03:08 [INFO] Found game object: pos (18)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Chunk (-32,0)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: VoidFireStand (1)
20:03:08 [INFO] Found game object: VoidFireStand
20:03:08 [INFO] Found game object: pos (5)
